stop_id,stop_name,stop_desc,stop_lat,stop_lon
1271,"Scoala 31 ","undefined",44.169375,28.588007
1175,"I.P.M.C.","undefined",44.169632,28.59185
1275,"Complex Bratianu ","undefined",44.170003,28.597524
1284,"Alba Iulia    ","undefined",44.17031,28.602281
1286,"Dispensar  ","undefined",44.170863,28.611707
1287,"Topolog ","undefined",44.171243,28.616715
1289,"Salvare ","undefined",44.171505,28.620539
1291,"Complex Intim ","undefined",44.171768,28.624749
1294,"Policlinica C.F.R.","undefined",44.172073,28.629774
1301,"Liceul Ovidius ","undefined",44.172463,28.635501
1348,"Piata Grivitei","Piata Grivitei",44.176077,28.642613
1302,"Liceul Ovidius  ","undefined",44.172501,28.635584
1293,"Policlinica C.F.R.","undefined",44.172116,28.62994
1292,"Complex Intim  ","undefined",44.171818,28.62514
1290,"Salvare  ","undefined",44.17155,28.620764
1288,"Topolog   ","undefined",44.171304,28.61713
1285,"Dispensar ","undefined",44.170757,28.608807
1176,"Alba Iulia","undefined",44.17033,28.60211
1276,"Complex Bratianu  ","undefined",44.170088,28.598331
1274,"Scoala 31  ","undefined",44.16962,28.591175
1270,"Palas ","undefined",44.16933,28.586917
1268,"Spitalul CFR","undefined",44.16899,28.581544
1364,"Poporului","Poporului",44.179694,28.632827
1362,"Ion Roata","Ion Roata",44.1783,28.628645
1360,"Brick","Brick",44.177144,28.624052
1359,"Primaverii","Primaverii",44.176529,28.620778
1357,"Eliberarii","Eliberarii",44.176672,28.614653
1355,"Facultativa","Facultativa",44.177538,28.610447
1077,"Halta Traian","Halta Traian",44.175519,28.607493
1354,"Facultativa","Facultativa",44.177296,28.610158
1356,"Eliberarii","Eliberarii",44.176357,28.614901
1358,"Primaverii","Primaverii",44.176473,28.620356
1361,"Brick","Brick",44.177222,28.624535
1363,"Poporului","Poporului",44.178814,28.630216
592,"Gara CFR {100]","Gara CFR {100]",44.169013,28.632449
1106,"Policlinica 2","Policlinica 2",44.171857,28.636782
1108,"Bucuresti","Bucuresti",44.176226,28.636073
1110,"Casa de Cultura","Casa de Cultura",44.180821,28.63582
1112,"Saguna","Saguna",44.184164,28.635446
1114,"Trocadero","Trocadero",44.189492,28.633845
1116,"Scoala Spectrum","Scoala Spectrum",44.192451,28.633009
1118,"Dacia","Dacia",44.195577,28.632145
1119,"Tomis 3","Tomis 3",44.1996,28.63111
1283,"Bulevard","undefined",44.203327,28.630175
1281,"Suceava  ","undefined",44.208818,28.628961
1161,"Zodiac","Zodiac",44.212377,28.628526
1279,"Sat Vacanta","Sat Vacanta",44.214689,28.62837
998,"Sat Vacanta (C.L.)","Cap linie 100 - Sat Vacanta",44.215855,28.627745
1162,"Zodiac","Zodiac",44.211567,28.628553
1280,"Suceava ","undefined",44.209234,28.628855
1282,"Bulevard ","Bulevard ",44.203235,28.630161
1120,"Tomis 3","Tomis 3",44.199051,28.631211
1117,"Scoala Spectrum","Scoala Spectrum",44.192436,28.632973
1115,"Trocadero","Trocadero",44.189387,28.633827
1113,"Saguna","Saguna",44.184312,28.635381
1111,"Casa de Cultura","Casa de Cultura",44.181526,28.635727
1109,"Bucuresti","Bucuresti",44.176196,28.636034
1107,"Policlinica 2","Policlinica 2",44.17322,28.636473
1365,"Depou tramvaie (C.L.)","Zona industriala",44.158817,28.586415
1278,"Depou Tramvaie","undefined",44.15906,28.586592
1174,"I.A.M.S.A.T","undefined",44.161275,28.587902
1178,"S.C. Palas","undefined",44.163932,28.590265
1179,"Facultativa","undefined",44.164372,28.592399
1180,"Pan Dobrogea","Pan Dobrogea",44.164878,28.595972
1184,"Caraiman  ","Caraiman  ",44.157483,28.613259
1200,"Complex","Complex",44.154389,28.618266
1203,"KM 4-5","KM 4-5",44.151222,28.623254
1204,"Dorally","Dorally",44.147617,28.624335
1169,"Complex Abator","Complex Abator",44.158602,28.628621
1173,"Abator","Abator",44.160468,28.629007
1171,"Piata Abator","Piata Abator",44.162598,28.630173
1214,"Gara CFR","Gara CFR",44.168631,28.632597
1167,"Piata Abator","Piata Abator",44.162151,28.629887
1168,"Complex Abator","Complex Abator",44.160009,28.628715
1170,"Far","Far",44.157568,28.630011
1206,"Complex Liliacului","Complex Liliacului",44.145799,28.61976
1205,"Scoala 37","Scoala 37",44.148257,28.621908
1202,"KM 4-5","KM 4-5",44.151681,28.622899
1201,"Complex","Complex",44.154095,28.6188
1199,"Caraiman ","Caraiman ",44.157132,28.613882
1030,"B-dul Aurel Vlaicu","Aurel Vlaicu",44.161287,28.604385
1032,"Logistic Park"," Logistic Park",44.159945,28.597174
1034,"RATC","RATC",44.159555,28.593471
1037,"Facultativa","Facultativa",44.159194,28.590035
1038,"Depou tramvaie","Depou tramvaie",44.158908,28.587184
1039,"Depou tramvaie ","Depou tramvaie",44.158898,28.587352
1036,"Facultativa Celco","Facultativa Celco",44.159216,28.590445
1035,"Fabrica de bere","Fabrica de bere",44.159489,28.59307
1033,"Argus","Argus",44.159879,28.596741
1031,"B-dul Aurel Vlaicu","B-dul Aurel Vlaicu",44.161053,28.604236
1029,"Meconst","Meconst",44.165134,28.607401
1027,"B-dul I.C.Bratianu","   Bratianu",44.171917,28.610143
1025,"Eliberarii","Eliberarii",44.177341,28.614627
1023,"Scoala 23","Scoala 23",44.180422,28.617756
1021,"Baba Novac","Baba Novac",44.184479,28.621045
1019,"Izvor","Izvor",44.187476,28.623352
1016,"Independentul","Independentul",44.192302,28.624301
1015,"Galeriile Soveja","Galeriile Soveja",44.194677,28.62392
1013,"B-dul Tomis","B-dul Tomis",44.200082,28.626364
1010,"City Park","City Park",44.202454,28.631286
1007,"Parcul Copiilor","Parcul Copiilor",44.202659,28.637217
1004,"Delfinariu","undefined",44.205026,28.645287
1002,"Facultativa","Zorelelor",44.205673,28.647787
1000,"Faleza Nord-Coborare (C.L.)","Stalp",44.207132,28.649863
1001,"Faleza Nord-Urcare (C.L.)","102N",44.207031,28.649463
1003,"Facultativa","Zorelelor",44.20556,28.647188
1005,"Delfinariu","Delfinariu",44.20446,28.642891
1006,"Parcul Copiilor","PC",44.202695,28.63741
1009,"City Park","City Park",44.202571,28.631907
1014,"Galeriile Soveja","Galerii - sens CET",44.196026,28.62381
1017,"Independentul","Independentul",44.191533,28.624398
1018,"Izvor","undefined",44.188088,28.623808
1020,"Baba Novac","Baba Novac",44.183967,28.620384
1022,"Scoala 23","Scoala 23",44.181234,28.618268
1024,"Eliberarii","Eliberarii",44.177399,28.614639
1026,"B-dul I.C.Bratianu","I C Bratianu",44.17146,28.610067
1028,"Meconst","Meconst",44.165032,28.607278
